date,n_articles,sentiment_mean,sentiment_std,neg_mean,neu_mean,pos_mean
2021-03-09,16,0.615125,0.4703969777397243,0.0135625,0.874375,0.1119375
2021-03-10,21,0.6776190476190477,0.41451025031843014,0.026761904761904765,0.8677619047619047,0.10552380952380953
2021-03-11,15,0.7268666666666667,0.38368232147119286,0.021,0.8794666666666667,0.09946666666666666
2021-03-12,11,0.7295454545454546,0.47161856698742544,0.029454545454545455,0.8696363636363637,0.10099999999999999
2021-03-13,10,0.8151999999999999,0.25187157221268314,0.0256,0.8587999999999999,0.1155
2021-03-14,6,0.8121666666666667,0.16335411432426997,0.03283333333333333,0.8111666666666667,0.156
2021-03-15,15,0.6512,0.5426385537353571,0.042133333333333335,0.8716,0.0864
2021-03-16,32,0.46240625,0.6762421717095046,0.051625,0.869875,0.0785
2021-03-17,27,0.23344444444444445,0.7979392368100628,0.05277777777777778,0.865074074074074,0.08218518518518518
2021-03-18,22,0.7288181818181818,0.43496366967758804,0.024545454545454547,0.8763636363636365,0.09918181818181818
2021-03-19,26,0.5158076923076923,0.622869489972387,0.03180769230769231,0.8860769230769231,0.08207692307692308
2021-03-20,14,0.2938571428571429,0.7130170843937491,0.07428571428571429,0.8548571428571429,0.071
2021-03-21,8,0.28825,0.5614867381718442,0.0675,0.871,0.06125
2021-03-22,34,0.5792058823529412,0.6173684023391329,0.04164705882352941,0.8680882352941177,0.09026470588235294
2021-03-23,18,0.6367777777777778,0.6010296611605548,0.02488888888888889,0.8897777777777777,0.08522222222222223
2021-03-24,21,0.45804761904761904,0.7416823765056357,0.04495238095238095,0.8705238095238095,0.08452380952380951
2021-03-25,19,0.7817368421052632,0.34179312165650133,0.01994736842105263,0.8799473684210527,0.10010526315789474
2021-03-26,30,0.7089666666666666,0.4622091990410413,0.024133333333333333,0.8884666666666666,0.08736666666666666
2021-03-27,10,0.7049000000000001,0.33809185142502324,0.0084,0.8503999999999999,0.14120000000000002
2021-03-28,6,0.5253333333333333,0.6482041859373222,0.02366666666666667,0.8996666666666666,0.07683333333333332
2021-03-29,22,0.49218181818181816,0.6820345359474901,0.0325,0.8776363636363637,0.08981818181818181
2021-03-30,40,0.405825,0.6299342614257052,0.031625,0.88835,0.08
2021-03-31,50,0.58268,0.5190487940572109,0.02704,0.8897400000000001,0.08310000000000001
2021-04-01,28,0.7213214285714286,0.37226196009156903,0.018571428571428572,0.8885357142857143,0.09289285714285714
2021-04-02,14,0.6488571428571428,0.45109079030601046,0.032214285714285716,0.8520714285714286,0.11557142857142857
2021-04-03,1,0.979,,0.075,0.818,0.107
2021-04-04,3,0.5373333333333333,0.5526339958176056,0.049999999999999996,0.876,0.07366666666666666
2021-04-05,27,0.7338148148148148,0.49114646390139977,0.028185185185185185,0.8351851851851853,0.13655555555555554
2021-04-06,21,0.5737142857142857,0.5377603688314287,0.035666666666666666,0.8397619047619048,0.12471428571428572
2021-04-07,24,0.5059166666666667,0.5798030337718271,0.036166666666666666,0.874625,0.08920833333333333
2021-04-08,42,0.2017142857142857,0.6555292885017601,0.0360952380952381,0.8912380952380953,0.07278571428571429
2021-04-09,29,0.5000689655172414,0.4362697339813723,0.02220689655172414,0.8603448275862069,0.11751724137931034
2021-04-10,4,0.61925,0.4335661233691273,0.03,0.8825000000000001,0.0875
2021-04-11,6,0.22083333333333335,0.4466678482571436,0.022833333333333334,0.896,0.08116666666666666
2021-04-12,29,0.6908275862068965,0.4369642081587721,0.022275862068965518,0.8975172413793103,0.08024137931034482
